marca,modelo,nro_de_serie,lugar_de_instalacion,fecha_de_verificacion,tipo
ANCA,CVDV Versión 2,CJR0001,"Ruta Nacional Nº 34, km 119,7, Casas, Pcia. de Santa Fe, sentido de circulación Cañada Rosquín - Centeno",2009-03-12,Fijo
ANCA,CVDV Versión 2,CJR0002,"Ruta Nacional Nº 34, km 119,7, Casas, Pcia. de Santa Fe, sentido de circulación Centeno - Cañada Rosquín",2009-03-12,Fijo
ANCA,CVDV Versión 2,CJR0003,"Ruta Provincial Nº 66, acceso a la localidad de Landeta, Pcia. de Santa Fe, sentido de circulación El Fortín - Carlos Pellegrini",2009-03-11,Fijo
ANCA,CVDV Versión 2,CJR0004,"Ruta Provincial Nº 66, acceso a la localidad de Landeta, Pcia. de Santa Fe, sentido de circulación Carlos Pellegrini - El Fortín",2009-03-11,Fijo
ANCA,CVDV Versión 2,CJR0005,"Ruta Nacional Nº 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación San Genaro - Casas",2009-03-11,Fijo
ANCA,CVDV Versión 2,CJR00059,Av. San Juan 2735 - carril 4 - descendente - C.A.B.A.,2019-01-16,Fijo
ANCA,CVDV Versión 2,CJR0006,"Ruta Nacional Nº 34, km 95,4, Centeno, Pcia. de Santa Fe, sentido de circulación Casas - San Genaro",2009-03-11,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta Provincial 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación Capital Federal - Mar del Plata.",2008-12-17,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta Provincial 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación Capital Federal - Mar del Plata.",2009-09-09,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación Capital Federal - Mar del Plata.",2010-09-04,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación Capital Federal - Mar del Plata.",2010-09-04,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2011-06-14,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2011-06-14,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2012-09-04,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2012-09-04,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2014-01-21,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2014-01-21,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2015-11-18,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2015-11-18,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2016-08-17,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2016-08-17,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2017-06-19,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2017-06-19,Fijo
ANCA,CVDV Versión 2,CJR0010,"Ruta Provincial 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación Capital Federal - Mar del Plata",2008-12-17,Fijo
ANCA,CVDV Versión 2,CJR0010,"Ruta Provincial 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación Capital Federal - Mar del Plata",2009-07-17,Fijo
ANCA,CVDV Versión 2,CJR0010,"Ruta Pcial. Nº 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2011-09-16,Fijo
ANCA,CVDV Versión 2,CJR0010,"Ruta Pcial. Nº 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2011-09-16,Fijo
ANCA,CVDV Versión 2,CJR0010,"Ruta Pcial. Nº 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2012-12-27,Fijo
ANCA,CVDV Versión 2,CJR0010,"Ruta Pcial. Nº 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2012-12-27,Fijo
ANCA,CVDV Versión 2,CJR0010,"km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación: CAB",2014-01-20,Fijo
ANCA,CVDV Versión 2,CJR0010,"Ruta Pcial. Nº 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2014-01-20,Fijo
ANCA,CVDV Versión 2,CJR0010,"Ruta Pcial. Nº 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2015-03-17,Fijo
ANCA,CVDV Versión 2,CJR0009,"Ruta provincial Nº 2, km 203, Dolores, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2017-06-19,Fijo
ANCA,CVDV Versión 2,CJR0010,"Ruta Provincial 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación Capital Federal - Mar del Plata",2008-12-17,Fijo
ANCA,CVDV Versión 2,CJR0010,"Ruta Provincial 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación Capital Federal - Mar del Plata",2009-07-17,Fijo
ANCA,CVDV Versión 2,CJR0010,"Ruta Pcial. Nº 2, km 152,7, Lezama, Pcia. de Buenos Aires, sentido de circulación: CABA - Mar del Plata",2011-09-16,Fijo
