lugar_de_instalacion,lat,lon,formatted_address
Av. Figueroa Alcorta 5700 Ciudad Autónoma de Buenos Aires,,,
"Autopista Illia km 1,2 (sentido hacia Provincia), Ciudad Autónoma de Buenos Aires.",,,
"Autopista Illia km 1,2, Ciudad Autónoma de Buenos Aires, sentido de circulación hacia provincia.",,,
"Autopista Illia km 1,2, carril 2 - Ciudad Autónoma de Buenos Aires,Ascendente",,,
"Au. Illia km 1,2 carril 2 -Ascendente - CABA",,,
"Av. Triunvirato 6300, Ciudad Autónoma de Buenos Aires.",,,
Av. Triunvirato Nº 6300 - CABA,,,
"Av. Coronel Roca Nº 5200, Ciudad Autónoma de Buenos Aires,sentido de circulación: Oeste (General Paz hacia Centro).",,,
Av. Triunvirato Nº 6300- CABA,,,
av. Triunvirato Nº 6300 carril 3 desc. - CABA,,,
Av. Díaz Vélez 3420 (Carril 2) de la Ciudad Autónoma de Buenos Aires,,,
Irigoyen 1761 carril 2 Asc. CABA,,,
"Autopista Perito Moreno km 4,5 (sentido hacia Provincia), Ciudad Autónoma de Buenos Aires.",,,
"Autopista P. Moreno km 4,5 (sentido hacia Provincia), Ciudad Autónoma de Buenos Aires.",,,
"Autopista Perito Moreno km 4,5 (sentido hacia Provincia) carril 4,Ciudad Autónoma de Buenos Aires.",,,
"Autopista Perito Moreno km 4,500 C.A.B.A. sentido descendente",,,
"Av. Lugones km 8,5 (altura Udaondo), Ciudad Autónoma de Buenos Aires.",,,
"Av. Lugones km 8,5 - CABA",,,
"Av. Lugones km 8,7, CABA, sentido: único",,,
"Av. Lugones km 8,7, CABA, sentido: único Carril 4",,,
"Av. Leopoldo Lugones km 8,5 carril 4 - desc. CABA",,,
"Autopista 25 de Mayo km 4,0 (sentido hacia Provincia), Ciudad Autónoma de Buenos Aires.",,,
"Galván 3640, CABA",,,
Galvan 3640 Carril 2 Ascendente CABA,,,
"Autopista 25 de Mayo km 4,0 (sentido hacia Capital), Ciudad Autónoma de Buenos Aires.",,,
"Avenida Independencia Nº 2662, Ciudad Autónoma de Buenos Aires",,,
